TimePeriod,Volume
2024-01-01 00:00:00+00:00,6596
2024-01-01 01:00:00+00:00,7355
2024-01-01 02:00:00+00:00,6220
2024-01-01 03:00:00+00:00,4936
2024-01-01 04:00:00+00:00,3188
2024-01-01 05:00:00+00:00,1522
2024-01-01 06:00:00+00:00,1532
2024-01-01 07:00:00+00:00,1378
2024-01-01 08:00:00+00:00,1204
2024-01-01 09:00:00+00:00,1430
2024-01-01 10:00:00+00:00,2263
2024-01-01 11:00:00+00:00,2974
2024-01-01 12:00:00+00:00,3753
2024-01-01 13:00:00+00:00,3743
2024-01-01 14:00:00+00:00,4310
2024-01-01 15:00:00+00:00,4650
2024-01-01 16:00:00+00:00,4261
2024-01-01 17:00:00+00:00,3813
2024-01-01 18:00:00+00:00,3702
2024-01-01 19:00:00+00:00,3253
2024-01-01 20:00:00+00:00,2805
2024-01-01 21:00:00+00:00,2462
2024-01-01 22:00:00+00:00,2187
2024-01-01 23:00:00+00:00,1476
2024-01-02 00:00:00+00:00,967
2024-01-02 01:00:00+00:00,428
2024-01-02 02:00:00+00:00,244
2024-01-02 03:00:00+00:00,234
2024-01-02 04:00:00+00:00,285
2024-01-02 05:00:00+00:00,643
2024-01-02 06:00:00+00:00,1454
2024-01-02 07:00:00+00:00,2891
2024-01-02 08:00:00+00:00,3541
2024-01-02 09:00:00+00:00,3932
2024-01-02 10:00:00+00:00,4178
2024-01-02 11:00:00+00:00,4538
2024-01-02 12:00:00+00:00,4641
2024-01-02 13:00:00+00:00,4780
2024-01-02 14:00:00+00:00,5187
2024-01-02 15:00:00+00:00,5386
2024-01-02 16:00:00+00:00,5290
2024-01-02 17:00:00+00:00,5464
2024-01-02 18:00:00+00:00,5223
2024-01-02 19:00:00+00:00,4259
2024-01-02 20:00:00+00:00,3590
2024-01-02 21:00:00+00:00,3640
2024-01-02 22:00:00+00:00,2767
2024-01-02 23:00:00+00:00,1957
2024-01-03 00:00:00+00:00,1201
2024-01-03 01:00:00+00:00,462
2024-01-03 02:00:00+00:00,293
2024-01-03 03:00:00+00:00,193
2024-01-03 04:00:00+00:00,244
2024-01-03 05:00:00+00:00,632
2024-01-03 06:00:00+00:00,1468
2024-01-03 07:00:00+00:00,2631
2024-01-03 08:00:00+00:00,3797
2024-01-03 09:00:00+00:00,4336
2024-01-03 10:00:00+00:00,4408
2024-01-03 11:00:00+00:00,4741
2024-01-03 12:00:00+00:00,5008
2024-01-03 13:00:00+00:00,5300
2024-01-03 14:00:00+00:00,5621
2024-01-03 15:00:00+00:00,5656
2024-01-03 16:00:00+00:00,5717
2024-01-03 17:00:00+00:00,5751
2024-01-03 18:00:00+00:00,5823
2024-01-03 19:00:00+00:00,5070
2024-01-03 20:00:00+00:00,4388
2024-01-03 21:00:00+00:00,3962
2024-01-03 22:00:00+00:00,3242
2024-01-03 23:00:00+00:00,2483
2024-01-04 00:00:00+00:00,1164
2024-01-04 01:00:00+00:00,535
2024-01-04 02:00:00+00:00,336
2024-01-04 03:00:00+00:00,270
2024-01-04 04:00:00+00:00,252
2024-01-04 05:00:00+00:00,563
2024-01-04 06:00:00+00:00,1471
2024-01-04 07:00:00+00:00,2699
2024-01-04 08:00:00+00:00,3967
2024-01-04 09:00:00+00:00,4488
2024-01-04 10:00:00+00:00,4742
2024-01-04 11:00:00+00:00,4862
2024-01-04 12:00:00+00:00,5284
2024-01-04 13:00:00+00:00,5400
2024-01-04 14:00:00+00:00,6038
2024-01-04 15:00:00+00:00,7128
2024-01-04 16:00:00+00:00,7568
2024-01-04 17:00:00+00:00,8476
2024-01-04 18:00:00+00:00,8660
2024-01-04 19:00:00+00:00,7176
2024-01-04 20:00:00+00:00,6365
2024-01-04 21:00:00+00:00,6652
2024-01-04 22:00:00+00:00,5448
2024-01-04 23:00:00+00:00,3357
2024-01-05 00:00:00+00:00,1834
2024-01-05 01:00:00+00:00,935
2024-01-05 02:00:00+00:00,527
2024-01-05 03:00:00+00:00,380
2024-01-05 04:00:00+00:00,247
2024-01-05 05:00:00+00:00,627
2024-01-05 06:00:00+00:00,1626
2024-01-05 07:00:00+00:00,3051
2024-01-05 08:00:00+00:00,4225
2024-01-05 09:00:00+00:00,4873
2024-01-05 10:00:00+00:00,5176
2024-01-05 11:00:00+00:00,5378
2024-01-05 12:00:00+00:00,5610
2024-01-05 13:00:00+00:00,5893
2024-01-05 14:00:00+00:00,6325
2024-01-05 15:00:00+00:00,6731
2024-01-05 16:00:00+00:00,6846
2024-01-05 17:00:00+00:00,7627
2024-01-05 18:00:00+00:00,7744
2024-01-05 19:00:00+00:00,6514
2024-01-05 20:00:00+00:00,5313
2024-01-05 21:00:00+00:00,5443
2024-01-05 22:00:00+00:00,5547
